Литовское слово,Английский,Русский
"sveikti, sveiksta, sveiko","get better, recover",выздоравливать
svetainė,living room,гостиная
šalikas,scarf,шарф
šaškės,draughts,шашки
šimtas,hundred,сто
"širdis, -ies",heart,сердце
"šis, ši",this,этот
šiukšlės,"litter, rubbish",мусор
"šokti, šoka, šoko",dance,танцевать
šortai,shorts,шорты
šukos,comb,расчёска
švarkas,"blazer, jacket",пиджак
"švarus, -i",clean,чистый
šventė,"holiday, feast, celebration",праздник
"švęsti, švenčia, šventė ką?",celebrate,праздновать
šviesa,light,свет
"šviesus, -i
",light,светлый
taisykla,repair shop,мастерская
"tamsus, -i",dark,тёмный
"tas, ta",that,тот
tepalai,lubricants,смазки
tiesiai,straight,прямо
"tikti, tinka, tiko kam? kas?","fit, suit",подходить
trintukas,eraser,ластик
"triukšmingas, -a",noisy,шумный
"trūkti, trūksta, trūko",break,ломаться
"trumpas, -a",short,короткий
"tūkstantis, -io",thousand,тысяча
"tuojau, tuoj","right away, immediately","сразу, немедленно"
"tvarkaraštis, -io",timetable,расписание
"tvarkingas, -a",tidy,аккуратный
"tvarkyti, tvarko, tvarkė ką?",tidy,убирать
upė,river,река
už,for,за
"uždaryti, uždaro, uždarė ką?",close,закрывать
"užduotis, -ies",task,задание
"užimtas, -a",occupied,занятый
"užrakinti, užrakina, užrakino ką?",lock,запирать
"užrašyti, užrašo, užrašė ką?",register,регистрировать
"užsiėmęs, -usi",busy,занятый
užtrauktukas,zipper,молния
"vadovėlis, -io",textbook,учебник
"vaikiškas, -a",childrenswear,детская одежда
vairas,steering wheel,руль
"vairuoti, vairuoja, vairavo ką?",drive,водить
"vairuotojas, -a",driver,водитель
vaistai,medication,лекарства
"vakarėlis, -io",party,вечеринка
valykla,cleaner’s,чистка
valymas,cleaning,уборка
"valyti, valo, valė ką?","clean, wipe","чистить, вытирать"
valytuvai,wipers,дворники
"vamzdis, -io","pipe, tube",труба
vanduo,water,вода
"vardadienis, -io",name day,именины
vartai,gates,ворота
vasara,summer,лето
"vasarinis, -ė",summer,летний
"vasaris, -io",February,февраль
"važinėti, važinėja, važinėjo",ride,ездить
veidas,face,лицо
"veidrodis, -io",mirror,зеркало
"veikti, veikia, veikė","do, work, function","действовать, работать"
Velykos,Easter,Пасха
"vemti, vemia, vėmė",vomit,рвать
"verslininkas, -ė","businessman, businesswoman",предприниматель
"viduriuoti, viduriuoja, viduriavo",have diarrhea,поносить
"vienspalvis, -ė",solid-coloured,одноцветный
vieta,"seat, place",место
"vilnonis, -ė",woollen,шерстяной
"violetinis, -ė",purple,фиолетовый
virdulys,kettle,чайник
viryklė,stove,плита
"vyriškas, -a",menswear,мужская одежда
virtuvė,kitchen,кухня
vonia,bathroom,ванная
"žaisti, žaidžia, žaidė ką?, kuo?",play,играть
"žemas, -a",low,низкий
"žydras, -a",light blue,голубой
žiedas,ring,кольцо
žiema,winter,зима
"žieminis, -ė",winter,зимний
"žinoti, žino, žinojo",know,знать
"žiūrėti, žiūri, žiūrėjo ką?",watch,смотреть
žvakė,candle,свеча
žvakutė,small candle,маленькая свеча
"žvejoti, žvejoja, žvejojo",fish,рыбачить
